,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
425,-0.5574,Wed Jun 27 17:20:10 +0000 2018,0.231,0.769,0.0,"Joe Jackson, the father and manager of the Jackson 5, has died https://t.co/ZWhxupoKYU",26,@nytimes
426,-0.5423,Wed Jun 27 17:06:46 +0000 2018,0.233,0.698,0.07,"The man accused of driving his car into people protesting a white supremacist rally in Charlottesville, Virginia wa… https://t.co/uxsXz1QqDB",27,@nytimes
427,0.0,Wed Jun 27 16:54:00 +0000 2018,0.0,1.0,0.0,Breaking News: President Trump and President Vladimir Putin of Russia will hold a summit soon. The planned meeting… https://t.co/gdRwE4Gd1z,28,@nytimes
428,0.7845,Wed Jun 27 16:45:58 +0000 2018,0.0,0.655,0.345,Breaking News: The Justice Department approved Disney's $71 billion bid for 21st Century Fox's assets. The decision… https://t.co/zWAST0A14E,29,@nytimes
429,-0.7717,Wed Jun 27 16:28:06 +0000 2018,0.261,0.739,0.0,"Bill Shine, ousted from Fox News for his handling of sexual harassment scandals, is expected to be offered the top… https://t.co/TZhweMpySJ",30,@nytimes
430,-0.6808,Wed Jun 27 16:13:05 +0000 2018,0.285,0.59,0.125,"The California Supreme Court calls it a “barbaric” rule from a “bygone age."" But the felony murder rule is still th… https://t.co/q7lRQibKIB",31,@nytimes
431,-0.1779,Wed Jun 27 15:58:45 +0000 2018,0.204,0.655,0.142,"Germany, the defending World Cup champion, lost to South Korea and failed to advance out of the group stage. Mexico… https://t.co/ath6QUMX4R",32,@nytimes
432,0.5994,Wed Jun 27 15:56:33 +0000 2018,0.0,0.843,0.157,"Video review has come to the World Cup, and it probably just knocked the defending champion Germany out of the tour… https://t.co/Jl9sDRbvIG",33,@nytimes
433,-0.5423,Wed Jun 27 15:53:06 +0000 2018,0.235,0.667,0.098,RT @nytopinion: Does Donald Trump fear foreigners invading America like he fears germs contaminating his body? Watch Episode 3 of @realtrum…,34,@nytimes
434,0.0,Wed Jun 27 15:49:03 +0000 2018,0.0,1.0,0.0,Because Slack is down and you might have to actually talk to your coworkers ¯\_(ツ)_/¯ https://t.co/W52HIDHdEf,35,@nytimes
435,-0.8271,Wed Jun 27 15:43:02 +0000 2018,0.401,0.599,0.0,A police officer was charged with criminal homicide in the fatal shooting of teenager Antwon Rose  https://t.co/0qvGG0RSQ4,36,@nytimes
